Time,Length,Device,Action,Source
0.0,-256,AppleWatch,period,0
0.0010000000474974513,-256,AppleWatch,period,0
0.0020000000949949026,-130,AppleWatch,period,0
0.003000000026077032,76,AppleWatch,period,0
0.021000000066123903,84,AppleWatch,period,0
0.03300000005401671,-256,AppleWatch,period,0
0.03300000005401671,-8,AppleWatch,period,0
0.03400000010151416,-256,AppleWatch,period,0
0.03400000010151416,-256,AppleWatch,period,0
0.03400000010151416,-8,AppleWatch,period,0
0.03600000008009374,-256,AppleWatch,period,0
0.061000000103376806,-256,AppleWatch,period,0
0.061000000103376806,-155,AppleWatch,period,0
0.062000000034458935,256,AppleWatch,period,0
0.062000000034458935,256,AppleWatch,period,0
0.062000000034458935,256,AppleWatch,period,0
0.062000000034458935,139,AppleWatch,period,0
0.062000000034458935,-256,AppleWatch,period,0
0.06300000008195639,-41,AppleWatch,period,0
0.06400000001303852,76,AppleWatch,period,0
0.06500000006053597,-256,AppleWatch,period,0
0.09200000006239861,-256,AppleWatch,period,0
0.09200000006239861,-8,AppleWatch,period,0
0.09200000006239861,-8,AppleWatch,period,0
0.09299999999348074,-18,AppleWatch,period,0
0.0940000000409782,84,AppleWatch,period,0
0.09600000001955777,-8,AppleWatch,period,0
0.09600000001955777,-8,AppleWatch,period,0
0.09600000001955777,-8,AppleWatch,period,0
0.10300000000279397,11,AppleWatch,period,0
0.11000000010244548,256,AppleWatch,period,0
0.11000000010244548,37,AppleWatch,period,0
0.11200000008102506,256,AppleWatch,period,0
0.11200000008102506,256,AppleWatch,period,0
0.11200000008102506,256,AppleWatch,period,0
0.11200000008102506,256,AppleWatch,period,0
0.1130000000121072,256,AppleWatch,period,0
0.1130000000121072,256,AppleWatch,period,0
0.1130000000121072,256,AppleWatch,period,0
0.1130000000121072,34,AppleWatch,period,0
0.15000000002328306,-76,AppleWatch,period,0
0.15200000000186265,-11,AppleWatch,period,0
0.15200000000186265,-8,AppleWatch,period,0
0.15200000000186265,-8,AppleWatch,period,0
0.15200000000186265,-8,AppleWatch,period,0
0.15400000009685755,-84,AppleWatch,period,0
0.15400000009685755,-8,AppleWatch,period,0
0.15400000009685755,256,AppleWatch,period,0
0.15400000009685755,256,AppleWatch,period,0
0.15400000009685755,256,AppleWatch,period,0
0.15400000009685755,151,AppleWatch,period,0
0.15600000007543713,-76,AppleWatch,period,0
0.15600000007543713,-8,AppleWatch,period,0
0.15600000007543713,-8,AppleWatch,period,0
0.15700000000651926,256,AppleWatch,period,0
0.15700000000651926,37,AppleWatch,period,0
0.21100000001024455,-84,AppleWatch,period,0
0.21100000001024455,-8,AppleWatch,period,0
0.212000000057742,248,AppleWatch,period,0
0.212000000057742,-8,AppleWatch,period,0
0.21400000003632158,-8,AppleWatch,period,0
0.2170000000623986,-8,AppleWatch,period,0
