"No.","Time","Source","Delta Time","Destination","Protocol","Length","Info"
"1828","69175.606000","remote ()","0.148000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1834","69176.897000","remote ()","0.193000","localhost ()","L2CAP","21","Rcvd Connection Parameter Update Request"
"1836","69176.897000","localhost ()","0.000000","remote ()","L2CAP","15","Sent Connection Parameter Update Response (Accepted)"
"1839","69177.030000","controller","0.126000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1844","69177.433000","controller","0.131000","host","HCI_EVT","13","Rcvd LE Meta (LE Connection Update Complete)"
"1847","69177.724000","remote ()","0.288000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1851","69178.301000","localhost ()","0.098000","remote ()","ATT","25","Sent Write Command, Handle: 0x0012 (Unknown)"
"1853","69178.602000","controller","0.004000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1922","69178.739000","remote ()","0.004000","localhost ()","ATT","26","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"1923","69178.739000","remote ()","0.000000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1938","69178.764000","localhost ()","0.000000","remote ()","ATT","15","Sent Write Command, Handle: 0x0012 (Unknown)"
"2006","69178.884000","controller","0.004000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2016","69179.608000","remote ()","0.104000","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2017","69179.611000","remote ()","0.003000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2018","69179.613000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2019","69179.615000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2020","69179.755000","remote ()","0.140000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2021","69179.757000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2022","69179.759000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2023","69179.900000","remote ()","0.141000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2024","69179.902000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2025","69179.904000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2029","69180.189000","remote ()","0.053000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2030","69180.189000","remote ()","0.000000","localhost ()","ATT","37","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2031","69180.189000","remote ()","0.000000","localhost ()","ATT","21","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2032","69180.331000","remote ()","0.142000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2033","69180.893000","localhost ()","0.562000","remote ()","ATT","22","Sent Write Command, Handle: 0x0012 (Unknown)"
"2036","69181.346000","remote ()","0.301000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2037","69181.350000","localhost ()","0.004000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2038","69181.350000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2039","69181.351000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2040","69181.352000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2041","69181.352000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2042","69181.353000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2043","69181.353000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2044","69181.354000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2045","69181.355000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2046","69181.355000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2047","69181.355000","localhost ()","0.000000","remote ()","ATT","43","Sent Write Command, Handle: 0x0012 (Unknown)"
"2048","69181.356000","localhost ()","0.001000","remote ()","ATT","14","Sent Write Command, Handle: 0x0012 (Unknown)"
"2049","69181.494000","controller","0.138000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2050","69181.494000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2051","69181.590000","controller","0.096000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2054","69181.782000","controller","0.187000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2055","69181.782000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2056","69181.788000","controller","0.006000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2057","69181.788000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
