"No.","Time","Source","Delta Time","Destination","Protocol","Length","Info"
"53","71187.868000","remote ()","0.276000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"323","71189.028000","remote ()","0.135000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"325","71189.052000","localhost ()","0.017000","remote ()","ATT","25","Sent Write Command, Handle: 0x0012 (Unknown)"
"328","71189.246000","controller","0.082000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"330","71189.318000","remote ()","0.072000","localhost ()","ATT","26","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"331","71189.322000","localhost ()","0.004000","remote ()","ATT","15","Sent Write Command, Handle: 0x0012 (Unknown)"
"333","71189.608000","remote ()","0.211000","localhost ()","L2CAP","21","Rcvd Connection Parameter Update Request"
"335","71189.608000","localhost ()","0.000000","remote ()","L2CAP","15","Sent Connection Parameter Update Response (Accepted)"
"336","71189.611000","controller","0.003000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"338","71189.903000","controller","0.290000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"339","71190.188000","remote ()","0.285000","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"340","71190.190000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"341","71190.192000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"342","71190.194000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"344","71190.334000","remote ()","0.074000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"345","71190.336000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"346","71190.340000","remote ()","0.004000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"347","71190.478000","remote ()","0.138000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"348","71190.481000","remote ()","0.003000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"349","71190.484000","remote ()","0.003000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"351","71190.624000","remote ()","0.033000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"352","71190.626000","remote ()","0.002000","localhost ()","ATT","85","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"353","71190.626000","remote ()","0.000000","localhost ()","ATT","21","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"354","71190.767000","remote ()","0.141000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"357","71192.367000","localhost ()","0.104000","remote ()","ATT","22","Sent Write Command, Handle: 0x0012 (Unknown)"
"358","71192.513000","controller","0.146000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"359","71192.513000","controller","0.000000","host","HCI_EVT","13","Rcvd LE Meta (LE Connection Update Complete)"
"362","71192.544000","remote ()","0.026000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"363","71192.547000","localhost ()","0.003000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"364","71192.548000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"365","71192.550000","localhost ()","0.002000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"366","71192.551000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"367","71192.552000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"368","71192.553000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"369","71192.553000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"370","71192.554000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"371","71192.554000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"372","71192.555000","localhost ()","0.001000","remote ()","ATT","43","Sent Write Command, Handle: 0x0012 (Unknown)"
"373","71192.555000","localhost ()","0.000000","remote ()","ATT","14","Sent Write Command, Handle: 0x0012 (Unknown)"
"374","71192.579000","controller","0.024000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"375","71192.579000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"376","71192.606000","controller","0.027000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"377","71192.606000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"378","71192.611000","controller","0.005000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"379","71192.611000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"380","71192.638000","controller","0.027000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"381","71192.638000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"382","71192.640000","controller","0.002000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"383","71192.640000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"384","71192.813000","controller","0.173000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"385","71193.239000","remote ()","0.426000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"403","71194.528000","remote ()","0.248000","localhost ()","ATT","14","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"405","71195.849000","remote ()","0.568000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"407","71196.868000","remote ()","0.587000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"409","71197.860000","remote ()","0.579000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"560","71198.879000","remote ()","0.126000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"561","71199.149000","remote ()","0.270000","localhost ()","L2CAP","21","Rcvd Connection Parameter Update Request"
"563","71199.149000","localhost ()","0.000000","remote ()","L2CAP","15","Sent Connection Parameter Update Response (Accepted)"
"565","71199.232000","controller","0.080000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"568","71199.615000","controller","0.331000","host","HCI_EVT","13","Rcvd LE Meta (LE Connection Update Complete)"
"571","71199.893000","localhost ()","0.275000","remote ()","ATT","25","Sent Write Command, Handle: 0x0012 (Unknown)"
"572","71199.907000","remote ()","0.014000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"573","71200.051000","remote ()","0.144000","localhost ()","ATT","26","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"574","71200.055000","localhost ()","0.004000","remote ()","ATT","15","Sent Write Command, Handle: 0x0012 (Unknown)"
"575","71200.058000","controller","0.003000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"576","71200.284000","controller","0.226000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"578","71200.921000","remote ()","0.636000","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"579","71200.923000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"580","71200.926000","remote ()","0.003000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"581","71201.067000","remote ()","0.141000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"582","71201.068000","remote ()","0.001000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"583","71201.073000","remote ()","0.005000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"584","71201.212000","remote ()","0.139000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"585","71201.213000","remote ()","0.001000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"586","71201.217000","remote ()","0.004000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"588","71201.356000","remote ()","0.070000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"589","71201.360000","remote ()","0.004000","localhost ()","ATT","188","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"590","71201.360000","remote ()","0.000000","localhost ()","ATT","21","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"591","71201.501000","remote ()","0.141000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"592","71202.191000","localhost ()","0.690000","remote ()","ATT","22","Sent Write Command, Handle: 0x0012 (Unknown)"
"594","71202.513000","remote ()","0.227000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"595","71202.516000","localhost ()","0.003000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"596","71202.517000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"597","71202.518000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"598","71202.518000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"599","71202.519000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"600","71202.520000","controller","0.001000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"601","71202.520000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"602","71202.521000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"603","71202.522000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"604","71202.522000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"605","71202.522000","localhost ()","0.000000","remote ()","ATT","59","Sent Write Command, Handle: 0x0012 (Unknown)"
"606","71202.523000","localhost ()","0.001000","remote ()","ATT","14","Sent Write Command, Handle: 0x0012 (Unknown)"
"607","71202.661000","controller","0.138000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"608","71202.661000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"609","71202.804000","controller","0.143000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"610","71202.804000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"611","71202.810000","controller","0.006000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"612","71202.810000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"613","71203.099000","controller","0.289000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"615","71203.531000","controller","0.231000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"616","71203.531000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"617","71203.533000","controller","0.002000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"618","71203.683000","controller","0.150000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"619","71203.817000","remote ()","0.134000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"698","71204.399000","remote ()","0.006000","localhost ()","ATT","14","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"704","71207.729000","localhost ()","0.374000","remote ()","ATT","20","Sent Handle Value Notification, Handle: 0x0028 (Unknown)"
"731","71208.023000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"741","71208.168000","remote ()","0.056000","localhost ()","ATT","30","Rcvd Write Request, Handle: 0x0025 (Unknown)"
"742","71208.170000","localhost ()","0.002000","remote ()","ATT","10","Sent Write Response, Handle: 0x0025 (Unknown)"
"743","71208.170000","localhost ()","0.000000","remote ()","ATT","100","Sent Handle Value Notification, Handle: 0x002b (Unknown)"
"804","71208.315000","controller","0.002000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"805","71208.315000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"900","71209.037000","remote ()","0.530000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"905","71209.810000","localhost ()","0.338000","remote ()","ATT","25","Sent Write Command, Handle: 0x0012 (Unknown)"
"906","71210.053000","remote ()","0.243000","localhost ()","ATT","26","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"907","71210.055000","remote ()","0.002000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"908","71210.057000","localhost ()","0.002000","remote ()","ATT","15","Sent Write Command, Handle: 0x0012 (Unknown)"
"909","71210.058000","controller","0.001000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"910","71210.343000","remote ()","0.285000","localhost ()","L2CAP","21","Rcvd Connection Parameter Update Request"
"912","71210.343000","localhost ()","0.000000","remote ()","L2CAP","15","Sent Connection Parameter Update Response (Accepted)"
"913","71210.346000","controller","0.003000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"916","71210.638000","controller","0.263000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"917","71211.068000","remote ()","0.430000","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"918","71211.072000","remote ()","0.004000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"919","71211.072000","remote ()","0.000000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"920","71211.073000","remote ()","0.001000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"921","71211.215000","remote ()","0.142000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"922","71211.359000","remote ()","0.144000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"923","71211.361000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"924","71211.363000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"926","71211.504000","remote ()","0.121000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"927","71211.508000","remote ()","0.004000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"928","71211.650000","remote ()","0.142000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"929","71211.650000","remote ()","0.000000","localhost ()","ATT","37","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"930","71211.652000","remote ()","0.002000","localhost ()","ATT","21","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"931","71211.793000","remote ()","0.141000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"934","71212.535000","localhost ()","0.062000","remote ()","ATT","22","Sent Write Command, Handle: 0x0012 (Unknown)"
"935","71212.808000","remote ()","0.273000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"936","71212.811000","localhost ()","0.003000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"937","71212.812000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"938","71212.813000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"939","71212.813000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"940","71212.814000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"941","71212.815000","controller","0.001000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"942","71212.815000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"943","71212.816000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"944","71212.817000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"945","71212.817000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"946","71212.818000","localhost ()","0.001000","remote ()","ATT","59","Sent Write Command, Handle: 0x0012 (Unknown)"
"947","71212.818000","localhost ()","0.000000","remote ()","ATT","14","Sent Write Command, Handle: 0x0012 (Unknown)"
"948","71212.977000","controller","0.159000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"949","71212.977000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"950","71212.979000","controller","0.002000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"951","71212.979000","controller","0.000000","host","HCI_EVT","13","Rcvd LE Meta (LE Connection Update Complete)"
"954","71213.034000","controller","0.051000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"955","71213.034000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"956","71213.066000","controller","0.032000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"957","71213.066000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"958","71213.096000","controller","0.030000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"959","71213.096000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"960","71213.096000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"961","71213.273000","controller","0.177000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"963","71213.909000","remote ()","0.492000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"965","71215.110000","remote ()","0.692000","localhost ()","ATT","14","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"966","71215.110000","remote ()","0.000000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"971","71218.079000","remote ()","0.650000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1125","71219.068000","remote ()","0.248000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1127","71219.309000","remote ()","0.164000","localhost ()","L2CAP","21","Rcvd Connection Parameter Update Request"
