"No.","Time","Source","Delta Time","Destination","Protocol","Length","Info"
"17","79699.150000","remote ()","0.004000","localhost ()","L2CAP","21","Rcvd Connection Parameter Update Request"
"19","79699.150000","localhost ()","0.000000","remote ()","L2CAP","15","Sent Connection Parameter Update Response (Accepted)"
"22","79699.179000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"43","79699.741000","controller","0.020000","host","HCI_EVT","13","Rcvd LE Meta (LE Connection Update Complete)"
"118","79702.782000","remote ()","0.087000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"223","79707.278000","localhost ()","0.128000","remote ()","ATT","20","Sent Handle Value Notification, Handle: 0x0028 (Unknown)"
"265","79707.730000","controller","0.004000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"266","79707.857000","remote ()","0.127000","localhost ()","ATT","30","Rcvd Write Request, Handle: 0x0025 (Unknown)"
"267","79707.858000","localhost ()","0.001000","remote ()","ATT","10","Sent Write Response, Handle: 0x0025 (Unknown)"
"268","79707.858000","localhost ()","0.000000","remote ()","ATT","115","Sent Handle Value Notification, Handle: 0x002b (Unknown)"
"270","79708.004000","controller","0.143000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"271","79708.004000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"442","79709.887000","remote ()","0.164000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"459","79711.917000","remote ()","0.389000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"463","79712.786000","remote ()","0.336000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"472","79714.817000","remote ()","0.317000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"477","79715.980000","remote ()","0.029000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"687","79726.997000","remote ()","0.099000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"853","79728.882000","remote ()","0.079000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"862","79730.912000","remote ()","0.300000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"872","79733.957000","remote ()","0.292000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"877","79734.972000","remote ()","0.190000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"880","79736.131000","remote ()","0.426000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1257","79751.212000","remote ()","0.340000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1289","79758.317000","remote ()","0.193000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1446","79759.476000","remote ()","0.080000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1457","79761.362000","remote ()","0.407000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1467","79764.262000","remote ()","0.058000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1479","79767.453000","remote ()","0.453000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1647","79769.482000","remote ()","0.062000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1662","79772.382000","remote ()","0.251000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1854","79779.465000","localhost ()","0.054000","remote ()","ATT","20","Sent Handle Value Notification, Handle: 0x0028 (Unknown)"
"1865","79779.488000","remote ()","0.010000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1866","79779.542000","controller","0.054000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1909","79779.777000","remote ()","0.021000","localhost ()","ATT","30","Rcvd Write Request, Handle: 0x0025 (Unknown)"
"1910","79779.780000","localhost ()","0.003000","remote ()","ATT","10","Sent Write Response, Handle: 0x0025 (Unknown)"
"1911","79779.780000","localhost ()","0.000000","remote ()","ATT","118","Sent Handle Value Notification, Handle: 0x002b (Unknown)"
"1929","79779.921000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1932","79779.946000","controller","0.003000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1937","79780.647000","remote ()","0.069000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1954","79785.577000","remote ()","0.404000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1960","79786.737000","remote ()","0.123000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2121","79788.770000","remote ()","0.015000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2126","79789.637000","remote ()","0.272000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2363","79807.763000","remote ()","0.257000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2525","79808.922000","remote ()","0.092000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2545","79814.867000","remote ()","0.361000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2551","79815.882000","remote ()","0.224000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2726","79819.942000","remote ()","0.248000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
