"No.","Time","Source","Delta Time","Destination","Protocol","Length","Info"
"1187","70351.381000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"1188","70351.382000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"1189","70351.383000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"1190","70351.384000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"1191","70351.384000","localhost ()","0.000000","remote ()","ATT","59","Sent Write Command, Handle: 0x0012 (Unknown)"
"1192","70351.385000","localhost ()","0.001000","remote ()","ATT","14","Sent Write Command, Handle: 0x0012 (Unknown)"
"1193","70351.409000","controller","0.024000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1194","70351.409000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1195","70351.437000","controller","0.028000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1196","70351.437000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1197","70351.468000","controller","0.031000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1198","70351.468000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1199","70351.472000","controller","0.004000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1201","70351.499000","controller","0.027000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1202","70351.499000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1203","70351.499000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1204","70351.499000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1206","70352.094000","remote ()","0.398000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"1212","70353.295000","remote ()","0.296000","localhost ()","ATT","14","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"1214","70353.325000","remote ()","0.023000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1225","70355.425000","remote ()","0.325000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1237","70357.464000","remote ()","0.315000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1239","70358.005000","remote ()","0.268000","localhost ()","L2CAP","21","Rcvd Connection Parameter Update Request"
"1241","70358.005000","localhost ()","0.000000","remote ()","L2CAP","15","Sent Connection Parameter Update Response (Accepted)"
"1243","70358.185000","controller","0.177000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1381","70358.468000","controller","0.002000","host","HCI_EVT","13","Rcvd LE Meta (LE Connection Update Complete)"
"1397","70358.711000","localhost ()","0.208000","remote ()","ATT","25","Sent Write Command, Handle: 0x0012 (Unknown)"
"1400","70359.190000","remote ()","0.372000","localhost ()","ATT","26","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"1401","70359.195000","localhost ()","0.005000","remote ()","ATT","15","Sent Write Command, Handle: 0x0012 (Unknown)"
"1402","70359.197000","controller","0.002000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1403","70359.404000","controller","0.207000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1409","70360.061000","remote ()","0.311000","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"1410","70360.065000","remote ()","0.004000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"1411","70360.065000","remote ()","0.000000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"1412","70360.208000","remote ()","0.143000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"1413","70360.209000","remote ()","0.001000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"1415","70360.353000","remote ()","0.012000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"1416","70360.355000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"1417","70360.357000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"1419","70360.497000","remote ()","0.121000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"1420","70360.500000","remote ()","0.003000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"1421","70360.502000","remote ()","0.002000","localhost ()","ATT","171","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"1422","70360.641000","remote ()","0.139000","localhost ()","ATT","21","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"1423","70360.643000","remote ()","0.002000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1431","70361.377000","localhost ()","0.122000","remote ()","ATT","22","Sent Write Command, Handle: 0x0012 (Unknown)"
"1434","70361.807000","controller","0.036000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1436","70361.944000","remote ()","0.137000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"1437","70361.947000","localhost ()","0.003000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"1438","70361.949000","localhost ()","0.002000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"1439","70361.950000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"1440","70361.950000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"1441","70361.951000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"1442","70361.952000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"1443","70361.952000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"1444","70361.953000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"1445","70361.953000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"1446","70361.953000","localhost ()","0.000000","remote ()","ATT","59","Sent Write Command, Handle: 0x0012 (Unknown)"
"1447","70361.954000","localhost ()","0.001000","remote ()","ATT","14","Sent Write Command, Handle: 0x0012 (Unknown)"
"1448","70362.092000","controller","0.138000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1449","70362.092000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1450","70362.135000","controller","0.043000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1454","70362.237000","controller","0.062000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1455","70362.237000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1456","70362.380000","controller","0.143000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1457","70362.380000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1458","70362.385000","controller","0.005000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1459","70362.385000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1462","70362.960000","controller","0.183000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1463","70362.960000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1465","70363.103000","remote ()","0.043000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"1466","70363.105000","remote ()","0.002000","localhost ()","L2CAP","21","Rcvd Connection Parameter Update Request"
"1468","70363.106000","localhost ()","0.000000","remote ()","L2CAP","15","Sent Connection Parameter Update Response (Accepted)"
